time	sigma	t_upRNAPelong
0	0.00000	0
0.04	0.00000	0
0.08	0.00000	0
0.12	0.00000	0
0.16	0.00000	0
0.2	0.00000	0
0.24	0.00000	0
0.28	0.00000	0
0.32	0.00000	0
0.36	0.00000	0
0.4	0.00000	0
0.44	0.00000	0
0.48	0.00000	0
0.52	0.00000	0
0.56	0.00000	0
0.6	0.00000	0
0.64	0.00000	0
0.68	0.00000	0
0.72	0.00000	0
0.76	0.00000	0
0.8	0.00000	0
0.84	0.00000	0
0.88	0.00000	0
0.92	0.00000	0
0.96	0.00000	0
1.0	0.00000	0
1.04	0.00000	0
1.08	0.00000	0
1.12	0.00000	0
1.16	0.00000	0
1.2	0.00000	0
1.24	0.00000	0
1.28	0.00000	0
1.32	0.00000	0
1.36	0.00000	0
1.4000000000000001	0.00000	0
1.44	0.00000	0
1.48	0.00000	0
1.52	0.00000	0
1.56	0.00000	0
1.6	0.00000	0
1.6400000000000001	0.00000	0
1.68	0.00000	0
1.72	0.00000	0
1.76	0.00000	0
1.8	0.00000	0
1.84	0.00000	0
1.8800000000000001	0.00000	0
1.92	0.00000	0
1.96	0.00000	0
2.0	0.00000	0
2.04	0.00000	0
2.08	0.00000	0
2.12	0.00000	0
2.16	0.00000	0
2.2	0.00000	0
2.24	0.00000	0
2.2800000000000002	0.00000	0
2.32	0.00000	0
2.36	0.00000	0
2.4	0.00000	0
2.44	0.00000	0
2.48	0.00000	0
2.52	0.00000	0
2.56	0.00000	0
2.6	0.00000	0
2.64	0.00000	0
2.68	0.00000	0
2.72	0.00000	0
2.7600000000000002	0.00000	0
2.8000000000000003	0.00000	0
2.84	0.00000	0
2.88	0.00000	0
2.92	0.00000	0
2.96	0.00000	0
3.0	0.00000	0
3.04	0.00000	0
3.08	0.00000	0
3.12	-0.00327	0
3.16	-0.00327	0
3.2	-0.00327	0
3.24	-0.00327	0
3.2800000000000002	-0.00327	0
3.3200000000000003	-0.00327	0
3.36	-0.00327	0
3.4	-0.00327	0
3.44	-0.00327	0
3.48	-0.00327	0
3.52	-0.00327	0
3.56	-0.00327	0
3.6	-0.00327	0
3.64	-0.00327	0
3.68	-0.00327	0
3.72	-0.00327	0
3.7600000000000002	-0.00327	0
3.8000000000000003	-0.00327	0
3.84	-0.00327	0
3.88	-0.00327	0
3.92	-0.00327	0
3.96	-0.00327	0
4.0	-0.00327	0
4.04	-0.00327	0
4.08	-0.00327	0
4.12	-0.00327	0
4.16	-0.00327	0
4.2	-0.00327	0
4.24	-0.00327	0
4.28	-0.00327	0
4.32	-0.00327	0
4.36	-0.00327	0
4.4	-0.00327	0
4.44	-0.00327	0
4.48	-0.00327	0
4.5200000000000005	-0.00327	0
4.5600000000000005	-0.00327	0
4.6000000000000005	-0.00327	0
4.64	-0.00327	0
4.68	-0.00327	0
4.72	-0.00327	0
4.76	-0.00327	0
4.8	-0.00327	0
4.84	-0.00327	0
4.88	-0.00327	0
4.92	-0.00327	0
4.96	-0.00327	0
5.0	-0.00327	0
5.04	-0.00327	0
5.08	-0.00327	0
5.12	-0.00327	0
5.16	-0.00327	0
5.2	-0.00327	0
5.24	-0.00327	0
5.28	-0.00327	0
5.32	-0.00327	0
5.36	-0.00327	0
5.4	-0.00327	0
5.44	-0.00327	0
5.48	-0.00327	0
5.5200000000000005	-0.00327	0
5.5600000000000005	-0.00327	0
5.6000000000000005	-0.00327	0
5.64	-0.00327	0
5.68	-0.00327	0
5.72	-0.00327	0
5.76	-0.00327	0
5.8	-0.00327	0
5.84	-0.00327	0
5.88	-0.00327	0
5.92	-0.00327	0
5.96	-0.00327	0
6.0	-0.00327	0
6.04	-0.00327	0
6.08	-0.00327	0
6.12	-0.00327	0
6.16	-0.00327	0
6.2	-0.00327	0
6.24	-0.00327	0
6.28	-0.00327	0
6.32	-0.00327	0
6.36	-0.00327	0
6.4	-0.00327	0
6.44	-0.00327	0
6.48	-0.00327	0
6.5200000000000005	-0.00327	0
6.5600000000000005	-0.00327	0
6.6000000000000005	-0.00327	0
6.640000000000001	-0.00327	0
6.68	-0.00327	0
6.72	-0.00327	0
6.76	-0.00327	0
6.8	-0.00327	0
6.84	-0.00327	0
6.88	-0.00327	0
6.92	-0.00327	0
6.96	-0.00327	0
7.0	-0.00327	0
7.04	-0.00327	0
7.08	-0.00327	0
7.12	-0.00327	0
7.16	-0.00327	0
7.2	-0.00327	0
7.24	-0.00327	0
7.28	-0.00327	0
7.32	-0.00327	0
7.36	-0.00327	0
7.4	-0.00327	0
7.44	-0.00327	0
7.48	-0.00327	0
7.5200000000000005	-0.00327	0
7.5600000000000005	-0.00327	0
7.6000000000000005	-0.00327	0
7.640000000000001	-0.00327	0
7.68	-0.00327	0
7.72	-0.00327	0
7.76	-0.00327	0
7.8	-0.00327	0
7.84	-0.00327	0
7.88	-0.00327	0
7.92	-0.00327	0
7.96	-0.00327	0
8.0	-0.00327	0
8.040000000000001	-0.00327	0
8.08	-0.00327	0
8.120000000000001	-0.00327	0
8.16	-0.00327	0
8.2	-0.00327	0
8.24	-0.00327	0
8.28	-0.00327	0
8.32	-0.00327	0
8.36	-0.00327	0
8.4	-0.00327	0
8.44	-0.00327	0
8.48	-0.00327	0
8.52	-0.00327	0
8.56	-0.00327	0
8.6	-0.00327	0
8.64	-0.00327	0
8.68	-0.00981	0
8.72	-0.00981	0
8.76	-0.00981	0
8.8	-0.00981	0
8.84	-0.00981	0
8.88	-0.00981	0
8.92	-0.00981	0
8.96	-0.01308	0
9.0	-0.01308	0
9.040000000000001	-0.01308	0
9.08	-0.01308	0
9.120000000000001	-0.01308	0
9.16	-0.01308	0
9.200000000000001	-0.01308	0
9.24	-0.01308	0
9.28	-0.01308	0
9.32	-0.01308	0
9.36	-0.01308	0
9.4	-0.01636	0
9.44	-0.01636	0
9.48	-0.01636	0
9.52	-0.01636	0
9.56	-0.01636	0
9.6	-0.01636	0
9.64	-0.01636	0
9.68	-0.01636	0
9.72	-0.01636	0
9.76	-0.01636	0
9.8	-0.01636	0
9.84	-0.01636	0
9.88	-0.01636	0
9.92	-0.01636	0
9.96	-0.01636	0
10.0	-0.01636	0
10.040000000000001	-0.01636	0
10.08	-0.01636	0
10.120000000000001	-0.01636	0
10.16	-0.01636	0
10.200000000000001	-0.01636	0
10.24	-0.01636	0
10.28	-0.01636	0
10.32	-0.01636	0
10.36	-0.01636	0
10.4	-0.01636	0
10.44	-0.01636	0
10.48	-0.01636	0
10.52	-0.01636	0
10.56	-0.01636	0
10.6	-0.01636	0
10.64	-0.01636	0
10.68	-0.01636	0
10.72	-0.01636	0
10.76	-0.01636	0
10.8	-0.01636	0
10.84	-0.01636	0
10.88	-0.01636	0
10.92	-0.01636	0
10.96	-0.01636	0
11.0	-0.01636	0
11.040000000000001	-0.01636	0
11.08	-0.01636	0
11.120000000000001	-0.01636	0
11.16	-0.01636	0
11.200000000000001	-0.01636	0
11.24	-0.01636	0
11.28	-0.01636	0
11.32	-0.01636	0
11.36	-0.01636	0
11.4	-0.01636	0
11.44	-0.01636	0
11.48	-0.01963	0
11.52	-0.01963	0
11.56	-0.01963	0
11.6	-0.01963	0
11.64	-0.01963	0
11.68	-0.01963	0
11.72	-0.01963	0
11.76	-0.01963	0
11.8	-0.01963	0
11.84	-0.01963	0
11.88	-0.01963	0
11.92	-0.01963	0
11.96	-0.01963	0
12.0	-0.01963	0
12.040000000000001	-0.01963	0
12.08	-0.01963	0
12.120000000000001	-0.01963	0
12.16	-0.01963	0
12.200000000000001	-0.01963	0
12.24	-0.01963	0
12.280000000000001	-0.01963	0
12.32	-0.01963	0
12.36	-0.01963	0
12.4	-0.01963	0
12.44	-0.01963	0
12.48	-0.01963	0
12.52	-0.01963	0
12.56	-0.01963	0
12.6	-0.01963	0
12.64	-0.01963	0
12.68	-0.01963	0
12.72	-0.01963	0
12.76	-0.01963	0
12.8	-0.01963	0
12.84	-0.01963	0
12.88	-0.01963	0
12.92	-0.01963	0
12.96	-0.01963	0
13.0	-0.01963	0
13.040000000000001	-0.02290	0
13.08	-0.02290	0
13.120000000000001	-0.02290	0
13.16	-0.02617	0
13.200000000000001	-0.02617	0
13.24	-0.02617	0
13.280000000000001	-0.02617	0
13.32	-0.02617	0
13.36	-0.02617	0
13.4	-0.02617	0
13.44	-0.02617	0
13.48	-0.02617	0
13.52	-0.02617	0
13.56	-0.02617	0
13.6	-0.02617	0
13.64	-0.02617	0
13.68	-0.02617	0
13.72	-0.02617	0
13.76	-0.02617	0
13.8	-0.02617	0
13.84	-0.02617	0
13.88	-0.02617	0
13.92	-0.02617	0
13.96	-0.02617	0
14.0	-0.02617	0
14.040000000000001	-0.02617	0
14.08	-0.02617	0
14.120000000000001	-0.02617	0
14.16	-0.02617	0
14.200000000000001	-0.02617	0
14.24	-0.02617	0
14.280000000000001	-0.02617	0
14.32	-0.02617	0
14.36	-0.02617	0
14.4	-0.02617	0
14.44	-0.02617	0
14.48	-0.02617	0
14.52	-0.02617	0
14.56	-0.02617	0
14.6	-0.02617	0
14.64	-0.02617	0
14.68	-0.02617	0
14.72	-0.02617	0
14.76	-0.02617	0
14.8	-0.02617	0
14.84	-0.02617	0
14.88	-0.02617	0
14.92	-0.02944	0
14.96	-0.02944	0
15.0	-0.02944	0
15.040000000000001	-0.02944	0
15.08	-0.02944	0
15.120000000000001	-0.02944	0
15.16	-0.02944	0
15.200000000000001	-0.02944	0
15.24	-0.02944	0
15.280000000000001	-0.02944	0
15.32	-0.02944	0
15.36	-0.02944	0
15.4	-0.02944	0
15.44	-0.02944	0
15.48	-0.03271	0
15.52	-0.03271	0
15.56	-0.03271	0
15.6	-0.03271	0
15.64	-0.03271	0
15.68	-0.03271	0
15.72	-0.03271	0
15.76	-0.03271	0
15.8	-0.03271	0
15.84	-0.03271	0
15.88	-0.03271	0
15.92	-0.03271	0
15.96	-0.03271	0
16.0	-0.03271	0
16.04	-0.03271	0
16.080000000000002	-0.03271	0
16.12	-0.03271	0
16.16	-0.03271	0
16.2	-0.03271	0
16.240000000000002	-0.03271	0
16.28	-0.03271	0
16.32	-0.03271	0
16.36	-0.03271	0
16.4	-0.03271	0
16.44	-0.03271	0
16.48	-0.03271	0
16.52	-0.03271	0
16.56	-0.03271	0
16.6	-0.03271	0
16.64	-0.03271	0
16.68	-0.03271	0
16.72	-0.03271	0
16.76	-0.03271	0
16.8	-0.03271	0
16.84	-0.03271	0
16.88	-0.03271	0
16.92	-0.03271	0
16.96	-0.03271	0
17.0	-0.03271	0
17.04	-0.03271	0
17.080000000000002	-0.03271	0
17.12	-0.03271	0
17.16	-0.03271	0
17.2	-0.03271	0
17.240000000000002	-0.03271	0
17.28	-0.03271	0
17.32	-0.03271	0
17.36	-0.03271	0
17.400000000000002	-0.03271	0
17.44	-0.03271	0
17.48	-0.03271	0
17.52	-0.03271	0
17.56	-0.03271	0
17.6	-0.03271	0
17.64	-0.03271	0
17.68	-0.03271	0
17.72	-0.03271	0
17.76	-0.03271	0
17.8	-0.03271	0
17.84	-0.03271	0
17.88	-0.03271	0
17.92	-0.03271	0
17.96	-0.03271	0
18.0	-0.03271	0
18.04	-0.03271	0
18.080000000000002	-0.03271	0
18.12	-0.03271	0
18.16	-0.03271	0
18.2	-0.03271	0
18.240000000000002	-0.03271	0
18.28	-0.03271	0
18.32	-0.03271	0
18.36	-0.03271	0
18.400000000000002	-0.03271	0
18.44	-0.03271	0
18.48	-0.03271	0
18.52	-0.03271	0
18.56	-0.03271	0
18.6	-0.03271	0
18.64	-0.03271	0
18.68	-0.03271	0
18.72	-0.03271	0
18.76	-0.03271	0
18.8	-0.03271	0
18.84	-0.03271	0
18.88	-0.03271	0
18.92	-0.03271	0
18.96	-0.03271	0
19.0	-0.03598	0
19.04	-0.03598	0
19.080000000000002	-0.03598	0
19.12	-0.03598	0
19.16	-0.03598	0
19.2	-0.03598	0
19.240000000000002	-0.03598	0
19.28	-0.03598	0
19.32	-0.03598	0
19.36	-0.03598	0
19.400000000000002	-0.03598	0
19.44	-0.03598	0
19.48	-0.03598	0
19.52	-0.03598	0
19.56	-0.03598	0
19.6	-0.03598	0
19.64	-0.03598	0
19.68	-0.03598	0
19.72	-0.03598	0
19.76	-0.03598	0
19.8	-0.03598	0
19.84	-0.03598	0
19.88	-0.03598	0
19.92	-0.03598	0
19.96	-0.03598	0
20.0	-0.03598	0
20.04	-0.03598	0
20.080000000000002	-0.03598	0
20.12	-0.03598	0
20.16	-0.03598	0
20.2	-0.03598	0
20.240000000000002	-0.03598	0
20.28	-0.03598	0
